Durham
Location 426700E 541500N, Lat 54.768 Lon -1.585, 102 metres amsl
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1930   1    7.1     1.0      10    89.7    55.6
   1930   2    4.1    -0.6      14    42.3    34.4
   1930   3    7.6     0.3      12    62.4    96.5
   1930   4    9.8     3.7       0    54.9    78.7
   1930   5   13.0     4.5       2    38.6   159.6
   1930   6   18.7     8.4       0    29.2   191.7
   1930   7   17.9    10.4       0   183.9   130.3
   1930   8   19.1    10.2       0   113.2   172.5
   1930   9   15.1     8.8       0    77.7    83.3
   1930  10   12.5     5.8       0    50.0   111.9
   1930  11    8.3     1.5       9    80.0    96.3
   1930  12    6.0     0.0      14    63.8    28.1
   1931   1    5.3    -0.5      16    50.3    74.0
   1931   2    5.6    -0.3      15    30.5    67.4
   1931   3    6.4    -1.4      22    37.7   114.9
   1931   4   10.0     2.9       2    78.6   112.3
   1931   5   14.1     5.4       1    70.6   165.3
   1931   6   16.2     8.3       0    92.0   132.6
   1931   7   18.2    10.6       0   101.6    96.7
   1931   8   16.5     8.8       0    56.1   126.8
   1931   9   14.7     6.4       1    84.4    70.1
   1931  10   12.3     3.8       7    27.0   134.9
   1931  11    9.2     3.3       3    53.3    37.1
   1931  12    7.4     0.8      12    25.0    55.8
   1932   1    8.6     1.5      12    37.7    78.5
   1932   2    6.7     1.0       8    26.4    67.6
   1932   3    7.5     0.6       7    56.7    80.8
   1932   4    9.6     1.5       6    32.5   150.0
   1932   5   11.8     5.4       1   104.2    86.6
   1932   6   16.4     7.7       0    29.7   172.1
   1932   7   18.5    11.0       0   110.6   121.4
   1932   8   19.3    10.7       0    65.6   130.0
   1932   9   15.8     7.6       2    55.4   156.8
   1932  10   11.0     4.1       1   101.3    85.9
   1932  11    8.4     3.2       5    18.8    44.8
   1932  12    7.5     3.0       3    23.4    43.8
   1933   1    4.5    -1.2      16    42.5    40.5
   1933   2    6.1     0.6      11    85.3    63.3
   1933   3   11.0     1.8       7    27.2   162.5
   1933   4   12.2     4.4       2    26.4   104.6
   1933   5   13.8     6.5       0    59.3   100.9
   1933   6   19.1     8.9       0    36.4   225.0
   1933   7   21.8    11.9       0    44.7   192.2
   1933   8   21.5    11.4       0    24.1   199.1
   1933   9   18.0     9.4       0    54.2   131.8
   1933  10   12.6     6.0       0    79.0    78.7
   1933  11    8.0     2.8       3    90.5    44.6
   1933  12    4.2     0.0      15    50.0    22.5
   1934   1    7.1     1.1       6    30.1    73.4
   1934   2    8.4     1.6       8    10.9   101.6
   1934   3    8.1     0.7       7    64.6    96.8
   1934   4   10.2     3.1       3    94.0   107.3
   1934   5   15.0     5.4       0    32.9   184.2
   1934   6   17.8     8.5       0    53.3   161.6
   1934   7   21.7    11.4       0    55.5   224.0
   1934   8   18.9     9.6       0    61.8   173.8
   1934   9   18.2     8.3       0    43.0   150.5
   1934  10   12.9     6.3       1    79.4    95.2
   1934  11    8.6     3.3       5    60.6    45.2
   1934  12    9.0     4.5       1   104.0    17.8
   1935   1    7.1     1.1      10    57.2    40.0
   1935   2    8.0     1.9       6    81.3    44.3
   1935   3    9.5     2.9       4    15.2   100.2
   1935   4   10.2     3.2       4    81.3   106.0
