Stornoway
Location 146400E 933200N, Lat 58.214 Lon -6.318, 15 metres amsl
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1930   1    6.5     2.0       5   168.2    29.7
   1930   2    6.1     0.8       6    18.8    75.2
   1930   3    6.7    -0.2      19    77.9   122.4
   1930   4   10.2     3.7       3    50.6   184.8
   1930   5   11.9     5.3       2    63.1   218.0
   1930   6   16.0     9.0       0    66.1   231.0
   1930   7   15.5    10.0       0    37.3   115.8
   1930   8   15.8    10.8       0   121.9    99.9
   1930   9   14.6     8.5       0    64.0    91.5
   1930  10   11.1     6.3       0   182.1    66.6
   1930  11    8.2     2.3       4   136.0    45.5
   1930  12    8.0     3.4       2   123.6    24.7
   1931   1    6.9     1.9       4   194.0    32.4
   1931   2    6.5     1.4       5   177.0    63.7
   1931   3    6.6     0.8       9    38.9   147.5
   1931   4    9.4     3.8       1    85.1   133.8
   1931   5   11.8     6.4       0    93.5   170.8
   1931   6   13.3     8.3       0    80.2   154.3
   1931   7   15.3    10.4       0    52.6   104.1
   1931   8   16.1     9.5       0    35.1   177.9
   1931   9   14.0     7.9       0    42.1    92.9
   1931  10   11.7     5.9       1   126.8    69.1
   1931  11   10.6     6.1       0   123.9    44.8
   1931  12    9.4     4.5       2   144.5    10.6
   1932   1    9.3     3.5       4   265.5    20.0
   1932   2    8.4     3.6       1    15.0    67.8
   1932   3    8.2     2.5       5    74.9    74.8
   1932   4    8.8     2.0       2    98.4   142.6
   1932   5   11.4     5.7       0    38.2   173.8
   1932   6   14.8     8.2       0    39.6   166.4
   1932   7   15.9    10.5       0    71.5   143.5
   1932   8   16.1    10.5       0   116.2   131.6
   1932   9   13.6     7.8       0   120.9    93.4
   1932  10   10.6     5.1       0   136.6    56.1
   1932  11    9.5     4.1       0   116.4    46.3
   1932  12    8.4     3.0       5    97.6    31.6
   1933   1    7.2     2.4       5   144.1    38.3
   1933   2    6.4     1.5       7    87.0    58.4
   1933   3    9.6     4.3       1    55.4    88.4
   1933   4   10.0     5.0       0    72.3   104.7
   1933   5   12.5     6.8       0    23.4   196.6
   1933   6   16.1     9.8       0    52.1   201.9
   1933   7   18.1    12.3       0    63.3   126.9
   1933   8   16.8    11.2       0   154.5   158.8
   1933   9   15.6    10.3       0    22.8   155.3
   1933  10   11.6     7.0       0   121.9    41.8
   1933  11    9.2     4.7       0    45.3    50.8
   1933  12    7.8     4.0       0    40.3    30.7
   1934   1    8.5     3.7       0   162.5    28.1
   1934   2    8.6     4.8       3    65.9    43.7
   1934   3    7.2     1.8       3    76.8   145.6
   1934   4    8.2     3.3       1    94.7   117.3
   1934   5   11.4     5.5       0    66.2   150.5
   1934   6   14.0     8.6       0    48.1   228.3
   1934   7   17.0    11.3       0   132.4   167.4
   1934   8   15.5    11.4       0   119.6    99.5
   1934   9   14.6     9.5       0   139.9   125.3
   1934  10   11.1     6.0       1   169.0    70.8
   1934  11    8.6     4.0       0    59.8    52.3
   1934  12    9.1     6.1       0    88.7    16.8
   1935   1    8.1     3.8       1   127.8    23.0
   1935   2    7.3     2.4       4   116.3    51.9
   1935   3    9.1     3.8       0    95.7   149.8
   1935   4    8.9     3.5       2    58.6   137.4
   1935   5   11.9     5.9       1    42.1   274.3
   1935   6   14.2     8.9       0    67.5   174.7
   1935   7   16.0    10.6       0    62.0   147.8
   1935   8   16.3    11.0       0    92.2    82.9
   1935   9   14.2     9.2       0   171.7   117.3
   1935  10   10.5     5.7       0   191.2    55.7
   1935  11    9.0     4.7       0    84.4    53.2
   1935  12    5.7     2.1       2    70.3    53.6
   1936   1    5.3     1.2       7    72.5    43.1
   1936   2    6.3     1.5       4    57.0    80.9
   1936   3    8.5     3.6       2    39.8    91.5
   1936   4    8.6     2.7       4    49.8   162.4
   1936   5   12.7     6.8       0    29.9   212.2
   1936   6   15.3     8.5       0    23.2   241.1
   1936   7   16.4    11.0       0    86.6   163.1
   1936   8   16.2    11.4       0    81.3    98.0
   1936   9   15.0     9.9       0   112.1   104.3
   1936  10   12.2     6.6       0   127.6    97.6
   1936  11    9.2     4.6       0   110.8    25.2
   1936  12    7.9     3.4       2   197.0    12.1
   1937   1    7.8     3.8       0   121.7    29.5
   1937   2    6.4     1.9       5   105.6    70.7
   1937   3    5.3     0.6      13    49.9   141.4
   1937   4   10.4     5.5       0    45.2   105.0
   1937   5   13.4     7.1       0    67.4   236.3
   1937   6   14.3     8.6       0    85.4   153.7
   1937   7   15.5    10.3       0    40.6   103.4
   1937   8   15.8    10.9       0   102.9   116.0
   1937   9   13.7     8.9       0   112.0   102.4
   1937  10   11.7     7.3       0    58.9    61.7
   1937  11    9.0     4.5       0    56.7    40.5
   1937  12    6.4     2.6       5    60.9    37.0
   1938   1    7.8     3.1       0   180.4    29.6
   1938   2    7.6     2.6       0    90.5    52.1
   1938   3   10.1     5.8       0   109.8    55.2
   1938   4   10.2     4.7       1    21.7   140.3
   1938   5   11.0     5.2       2    72.5   208.7
   1938   6   13.3     8.4       0   117.3   100.5
   1938   7   15.2    10.2       0    67.7   126.4
   1938   8   16.8    10.7       0   114.8   187.4
   1938   9   14.5     9.8       0   106.5   112.1
   1938  10   11.6     6.8       0   219.9    80.9
   1938  11    9.6     5.5       0   145.4    30.8
   1938  12    7.4     3.5       5   112.0    36.2
   1939   1    5.6     1.6      10   123.5    60.4
   1939   2    8.4     4.0       0   137.9    38.9
   1939   3    8.3     3.3       0   103.6   123.5
   1939   4    9.9     4.5       0    65.2   174.0
   1939   5   12.1     7.3       0    30.5   174.6
   1939   6   14.9     8.4       0    33.1   163.5
   1939   7   14.5    10.4       0   143.7    57.2
   1939   8   17.0    11.6       0    64.2   203.9
   1939   9   15.4    10.2       0    69.5   112.6
   1939  10   11.1     6.5       0    83.4   134.2
   1939  11    9.4     5.2       0   161.5    38.0
   1939  12    7.4     3.9       1    75.5    19.5
   1940   1    5.4     1.8       8    64.3    31.7
